year,round,driver,constructor,circuit,location,country,date,position,grid,qualifying_position,dnf,pit_stops,temperature,humidity,wind_speed,precipitation,driver_podiums,constructor_podiums,driver_wins,constructor_wins
2000,7,Heinz-Harald Frentzen,Jordan,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,10,4,-1,True,0,22.9,,8.1,0.0,16,1,3,0
2000,7,Ricardo Zonta,BAR,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,13,20,-1,True,0,22.9,,8.1,0.0,0,2,0,0
2000,7,Jos Verstappen,Arrows,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,11,15,-1,True,0,22.9,,8.1,0.0,2,4,0,0
2000,7,Ralf Schumacher,Williams,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,14,9,-1,True,0,22.9,,8.1,0.0,0,24,0,9
2000,7,Pedro Diniz,Sauber,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,16,19,-1,True,0,22.9,,8.1,0.0,0,1,0,0
2000,7,Jarno Trulli,Jordan,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,15,2,-1,True,0,22.9,,8.1,0.0,1,1,0,0
2000,7,Marc Gené,Minardi,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,19,21,-1,True,0,22.9,,8.1,0.0,0,0,0,0
2000,7,Jean Alesi,Prost,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,17,7,-1,True,0,22.9,,8.1,0.0,18,3,1,0
2000,7,Gastón Mazzacane,Minardi,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,18,22,-1,True,0,22.9,,8.1,0.0,0,0,0,0
2000,7,Pedro de la Rosa,Arrows,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,22,16,-1,True,0,22.9,,8.1,0.0,0,4,0,0
2000,7,Jenson Button,Williams,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,21,14,-1,True,0,22.9,,8.1,0.0,12,24,0,9
2000,7,Alexander Wurz,Benetton,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04,20,12,-1,True,0,22.9,,8.1,0.0,3,12,0,1
2000,8,Michael Schumacher,Ferrari,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,1,1,-1,False,0,13.3,,5.3,1.2,0,36,0,11
2000,8,Giancarlo Fisichella,Benetton,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,3,10,-1,False,0,13.3,,5.3,1.2,9,12,0,1
2000,8,Mika Häkkinen,McLaren,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,4,4,-1,False,0,13.3,,5.3,1.2,17,24,2,6
2000,8,Rubens Barrichello,Ferrari,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,2,3,-1,False,0,13.3,,5.3,1.2,3,36,0,11
2000,8,Ricardo Zonta,BAR,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,8,8,-1,False,0,13.3,,5.3,1.2,0,2,0,0
2000,8,Jos Verstappen,Arrows,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,5,13,-1,False,0,13.3,,5.3,1.2,2,4,0,0
2000,8,David Coulthard,McLaren,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,7,2,-1,False,0,13.3,,5.3,1.2,37,24,9,6
2000,8,Pedro de la Rosa,Arrows,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,17,9,-1,True,0,13.3,,5.3,1.2,0,4,0,0
2000,8,Pedro Diniz,Sauber,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,10,19,-1,False,0,13.3,,5.3,1.2,0,1,0,0
2000,8,Ralf Schumacher,Williams,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,14,12,-1,True,0,13.3,,5.3,1.2,0,24,0,9
2000,8,Jacques Villeneuve,BAR,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,15,6,-1,True,0,13.3,,5.3,1.2,23,2,11,0
2000,8,Nick Heidfeld,Prost,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,20,21,-1,True,0,13.3,,5.3,1.2,4,3,0,0
2000,8,Jean Alesi,Prost,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,19,17,-1,True,0,13.3,,5.3,1.2,18,3,1,0
2000,8,Jarno Trulli,Jordan,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,6,7,-1,False,0,13.3,,5.3,1.2,1,1,0,0
2000,8,Gastón Mazzacane,Minardi,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,12,22,-1,True,0,13.3,,5.3,1.2,0,0,0,0
2000,9,David Coulthard,McLaren,Circuit de Nevers Magny-Cours,Magny Cours,France,2000-07-02,1,2,-1,False,0,22.8,,11.4,,37,24,9,6
2000,8,Alexander Wurz,Benetton,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,9,14,-1,False,0,13.3,,5.3,1.2,3,12,0,1
2000,8,Johnny Herbert,Jaguar,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,22,11,-1,True,0,13.3,,5.3,1.2,5,2,2,0
2000,8,Jenson Button,Williams,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18,11,18,-1,True,0,13.3,,5.3,1.2,12,24,0,9
